label,mh [M_\odot],z,N_0 [kpc^-2] (Unscaled Sigma Sub),k1,k2,\Sigma_{sub}[kpc^{-2}]
Ponos V,12000000000000.0,0.7,0.006,0.3735252805310532,1.0483460062196437,0.004629837094319985
Ponos Q,6500000000000.0,0.7,0.006,0.3735252805310532,1.0483460062196437,0.005821347143399204
Xu,6766000000000.0,0.6,0.0020298,0.3735252805310532,1.0483460062196437,0.0021253706636305872
Nadler Lower Bound,1700000000000.0,0.0,0.0009708124053305089,0.3735252805310532,1.0483460062196437,0.003891936031070541
Nadler Upper Bound,1700000000000.0,0.0,0.0019416248106610178,0.3735252805310532,1.0483460062196437,0.007783872062141082
