label,mh [M_\odot],z,N_0 [kpc^-2] (Unscaled Sigma Sub),k1,k2,\Sigma_{sub}[kpc^{-2}]
Ponos V,12000000000000.0,0.7,0.006,0.3735252805310534,1.048346006219644,0.0046298370943199845
Ponos Q,6500000000000.0,0.7,0.006,0.3735252805310534,1.048346006219644,0.005821347143399203
Xu,6766000000000.0,0.6,0.0020298,0.3735252805310534,1.048346006219644,0.002125370663630587
Nadler Lower Bound,1700000000000.0,0.0,0.000970812405330509,0.3735252805310534,1.048346006219644,0.0038919360310705436
Nadler Upper Bound,1700000000000.0,0.0,0.001941624810661018,0.3735252805310534,1.048346006219644,0.007783872062141087
